CreatedDate,CreatedTime,Distance in Cm
16032019,1:38:15 PM,288
16032019,1:38:25 PM,288
16032019,1:38:35 PM,287.6
16032019,1:38:45 PM,288.1
16032019,1:38:55 PM,287.6
16032019,1:39:05 PM,289.7
16032019,1:39:15 PM,287.2
16032019,1:39:25 PM,287.1
16032019,1:39:35 PM,287.6
16032019,1:39:45 PM,288
16032019,1:39:55 PM,287.5
16032019,1:40:05 PM,287.1
16032019,1:40:15 PM,288.4
16032019,1:40:25 PM,288.4
16032019,1:40:35 PM,287.2
16032019,1:40:45 PM,288
16032019,1:40:55 PM,288
16032019,1:41:05 PM,287.6
16032019,1:41:15 PM,287.1
16032019,1:41:25 PM,288.1
16032019,1:41:35 PM,288.4
16032019,1:41:45 PM,288
16032019,1:41:55 PM,288.9
16032019,1:42:05 PM,289.3
16032019,1:42:15 PM,287.6
16032019,1:42:25 PM,287.7
16032019,1:42:35 PM,287.6
16032019,1:42:45 PM,288.5
16032019,1:42:55 PM,287.6
16032019,1:43:05 PM,288
16032019,1:43:15 PM,287.1
16032019,1:43:25 PM,287.6
16032019,1:43:35 PM,287.1
16032019,1:43:45 PM,288.8
16032019,1:43:55 PM,287.2
16032019,1:44:05 PM,288
16032019,1:44:15 PM,288
16032019,1:44:25 PM,287.6
16032019,1:44:35 PM,287.6
16032019,1:44:45 PM,288
16032019,1:44:55 PM,287.2
16032019,1:45:05 PM,288.5
16032019,1:45:15 PM,287.6
16032019,1:45:25 PM,287.6
16032019,1:45:35 PM,288.9
16032019,1:45:45 PM,287.2
16032019,1:45:55 PM,287.6
16032019,1:46:05 PM,288.5
16032019,1:46:15 PM,289.4
16032019,1:46:25 PM,288.4
16032019,1:46:35 PM,287.2
16032019,1:46:45 PM,287.1
16032019,1:46:55 PM,288
16032019,1:47:05 PM,288.5
16032019,1:47:15 PM,287.6
16032019,1:47:25 PM,288.5
16032019,1:47:35 PM,287.6
16032019,1:47:45 PM,287.6
16032019,1:47:55 PM,287.6
16032019,1:48:05 PM,287.2
16032019,1:48:15 PM,287.1
16032019,1:48:25 PM,287.6
16032019,1:48:35 PM,288.5
16032019,1:48:45 PM,288.4
16032019,1:48:55 PM,288.4
16032019,1:49:05 PM,287.6
16032019,1:49:15 PM,287.6
16032019,1:49:25 PM,287.5
16032019,1:49:35 PM,288.9
16032019,1:49:45 PM,288.1
16032019,1:49:55 PM,289.3
16032019,1:50:05 PM,288.4
16032019,1:50:15 PM,287.1
16032019,1:50:25 PM,288.9
16032019,1:50:35 PM,289.3
16032019,1:50:45 PM,287.6
16032019,1:50:55 PM,288
16032019,1:51:05 PM,287.6
16032019,1:51:15 PM,287.7
